"date","type","registration","operator","fat.","location","Var.7","pic","cat","occurence","year","passenger.x","passenger.y","passenger"
"21-OCT-1935","Curtiss Condor 18","NC725K","Chamberlin Flying Service","1","Troy, NY",NA,NA,"A1",1,"1935",NA,NA,NA
"22-OCT-1935","de Havilland DH.86 Express","G-ADCM","Imperial Airways","0","Zwettl",NA,NA,"A1",1,"1935",NA,NA,NA
"24-OCT-1935","Ford 5-AT-C Tri-Motor","n/a","Private","0","Hankow",NA,NA,"C1",1,"1935",NA,NA,NA
"07-NOV-1935","Savoia-Marchetti S.73P","OO-AGM","Sabena","0","London-Croyd...",NA,NA,"A1",1,"1935",NA,NA,NA
"09-NOV-1935","Ford 5-AT-.  Tri-Motor","","TACA de Honduras","0","Jutiapa",NA,NA,"A1",1,"1935",NA,NA,NA
"09-NOV-1935","Short S.17 Kent","G-ABFB","Imperial Airways","0","Brindisi",NA,NA,"O1",1,"1935",NA,NA,NA
"23-NOV-1935","de Havilland DH.66 Hercules","G-ABCP","Imperial Airways","","Lake Salisbury",NA,NA,"A1",1,"1935",NA,NA,NA
"??-NOV-1935","Junkers G.24","PP-CAS","Syndicato Condor","","Ilhéus, BA",NA,NA,"A1",1,"1935",NA,NA,NA
"10-DEC-1935","Savoia-Marchetti S.73","OO-AGN","Sabena","11","Tatsfield",NA,NA,"A1",1,"1935",NA,NA,NA
"10-DEC-1935","Potez 62","F-ANPH","Air France","0","Auxerre",NA,NA,"A1",1,"1935",NA,NA,NA
"24-DEC-1935","Ford 5-AT-D Tri-Motor","NC433H","Panagra","2+ 2","Lima",NA,NA,"A1",1,"1935",NA,NA,NA
"31-DEC-1935","Short S.8 Calcutta","G-AASJ","Imperial Airways","12","Alexandria",NA,NA,"A1",1,"1935",NA,NA,NA
"??-???-1935","Junkers F.24ko (G.24)","D-ULET","Deutsche Lufthansa","","",NA,NA,"A1",1,"1935",NA,NA,NA
"14-JAN-1936","Douglas DC-2-120","NC14274","American Airlines","17","Goodwin, AR",NA,NA,"A1",1,"1936",NA,NA,NA
"14-JAN-1936","Junkers Ju-52/3m","624","Colombian AF","13","Tres Esquina...",NA,NA,"A1",1,"1936",NA,NA,NA
"17-JAN-1936","Junkers Ju-52/3mce","unreg.","LAB","13","Cochabamba",NA,NA,"A1",1,"1936",NA,NA,NA
"28-FEB-1936","Douglas DC-2-115B","HB-ITI","Swissair","0","Zürich-Düben...",NA,NA,"A1",1,"1936",NA,NA,NA
"05-MAR-1936","Ford 5-AT-D Tri-Motor","27","CNAC","0","Zigong",NA,NA,"A1",1,"1936",NA,NA,NA
